epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,13170.6,1.28152,1.60642,0.78772,0.00262,0.28933,0.69109,0.57589,0.63801,0.32746,0.66049,0.54975,0.58852,0.23157,1.66264,2.37392,1.31471,0.0124,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,13322.1,1.28676,1.60583,0.77697,0.0026,0.28586,0.66589,0.59675,0.6309,0.32783,0.62992,0.56376,0.57119,0.23111,1.6556,2.36284,1.32033,0.01234,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,13473.1,1.28268,1.59878,0.77178,0.0026,0.29433,0.68544,0.5707,0.62681,0.32226,0.65471,0.53052,0.57228,0.2279,1.65822,2.3567,1.31094,0.01252,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,13624.6,1.27943,1.60019,0.77029,0.00263,0.28499,0.67796,0.59484,0.64229,0.32572,0.63712,0.55595,0.57898,0.2274,1.66511,2.36604,1.29445,0.01247,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,13779.8,1.39627,1.82405,0.81584,0.00339,0.18159,0.71315,0.53872,0.62312,0.32034,0.68036,0.51583,0.58268,0.23136,1.65326,2.35888,1.30343,0.0124,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,13925.7,1.37097,1.78026,0.76824,0.00323,0.16885,0.6997,0.56189,0.63362,0.32742,0.68709,0.53508,0.59076,0.24294,1.65612,2.37076,1.29878,0.0125,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,14072,1.36602,1.7847,0.74193,0.00322,0.16729,0.70115,0.56667,0.6286,0.32534,0.694,0.53079,0.58843,0.23625,1.66696,2.39226,1.30609,0.01248,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,14218.8,1.3605,1.77235,0.74876,0.00319,0.16579,0.74978,0.53846,0.63036,0.32983,0.71802,0.51581,0.59092,0.23461,1.66088,2.39059,1.3051,0.01246,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,14365.4,1.35295,1.76194,0.73974,0.00318,0.16492,0.68793,0.56106,0.62605,0.32607,0.68335,0.52548,0.59347,0.23422,1.67131,2.39831,1.30659,0.01246,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,14511.2,1.33577,1.74691,0.7273,0.00308,0.16454,0.68667,0.55542,0.62683,0.32829,0.679,0.53594,0.58957,0.23572,1.67703,2.41021,1.29139,0.01247,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,14657,1.32139,1.72532,0.71119,0.00302,0.15809,0.62483,0.58266,0.62395,0.32376,0.67021,0.49712,0.57981,0.2318,1.67148,2.42273,1.31021,0.0124,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
